,Yr,Mo,Da,Time,Group_Size,Latitude,Longitude,lunar_day,lunar_deg,Tidal_phase,ID
0,2016,9,24,14.5,3,"21°28'8"" N","157°49'14"" W",8 days 00:00:00.000000000,102.85714285714285,93.02970293345358,0
1,2018,2,3,8.0,1,"21°28'20"" N","157°49'10"" W",3 days 00:00:00.000000000,38.57142857142857,89.56521734366729,1
2,2018,4,1,10.5,1,"21°28'28"" N ","157°49'12"" W",1 days 00:00:00.000000000,12.857142857142856,218.43243244008474,2
3,2018,4,29,7.0,1,"21°28'6"" N ","157°49'6"" W",0 days 00:00:00.000000000,0.0,152.23880597910448,3
4,2018,9,2,7.25,3,"21°28'27"" N","157°49'12"" W",7 days 00:00:00.000000000,90.0,324.0733197614694,4
5,2018,9,19,7.0,1,"21°28'37"" N","157°49'34"" W",24 days 00:00:00.000000000,308.57142857142856,236.47855528481875,5
6,2018,10,2,7.25,2,"21°28'17"" N","157°49'9"" W",8 days 00:00:00.000000000,102.85714285714285,307.3003802232966,6
7,2018,10,4,10.25,8,"21°28'36"" N","157°49'22"" W",10 days 00:00:00.000000000,128.57142857142858,326.7436490269829,7
8,2018,10,6,9.5,2,"21°28'31"" N","157°49'17"" W",12 days 00:00:00.000000000,154.28571428571428,268.35509137902636,8
9,2018,10,13,7.0,1,"21°28'25"" N","157°49'12"" W",19 days 00:00:00.000000000,244.2857142857143,42.17391307051041,9
10,2018,12,1,12.25,3,"21°28'49"" N","157°49'34"" W",9 days 00:00:00.000000000,115.71428571428572,56.12472159804563,10
11,2019,1,12,9.25,1,"21°28'39"" N","157°49'27"" W",21 days 00:00:00.000000000,270.0,73.37579617834395,11
12,2019,1,20,17.15,9,"21°28'41"" N","157°49'29"" W",0 days 00:00:00.000000000,0.0,107.2992699854014,12
13,2019,1,21,7.75,1,"21°28'38"" N","157°49'18"" W",1 days 00:00:00.000000000,12.857142857142856,119.27710848829149,13
14,2019,6,14,6.5,2,"21°28'41"" N","157°49'31"" W",27 days 00:00:00.000000000,347.14285714285717,184.58333332309027,14
15,2019,9,25,7.0,6,"21°28'35"" N","157°49'23"" W",12 days 00:00:00.000000000,154.28571428571428,215.56626506720164,15
16,2019,9,27,7.25,4,"21°28'38"" N","157°49'33"" W",14 days 00:00:00.000000000,180.0,178.57519788993395,16
17,2019,9,28,8.5,3,"21°28'50"" N","157°49'34"" W",15 days 00:00:00.000000000,192.85714285714286,192.8925619671607,17
18,2019,10,7,8.25,1,"21°28'48"" N","157°49'28"" W",24 days 00:00:00.000000000,308.57142857142856,283.87665198573234,18
19,2019,10,19,9.25,3,"21°28'43"" N","157°49'31"" W",6 days 00:00:00.000000000,77.14285714285714,28.192771084337345,19
20,2019,12,9,7.25,2,"21°28'51"" N","157°49'38"" W",27 days 00:00:00.000000000,347.14285714285717,169.5514511783878,20
21,2020,4,5,7.3,9,"21°28'40"" N","157°49'27"" W",27 days 00:00:00.000000000,347.14285714285717,174.2534381053903,21
22,2020,4,6,7.25,1,"21°28'39"" N","157°49'26"" W",28 days 00:00:00.000000000,360.0,161.99999999189998,22
23,2020,4,8,10.3,2,"21°28'41"" N","157°49'30"" W",1 days 00:00:00.000000000,12.857142857142856,222.01591510439394,23
24,2020,4,10,7.3,1,"21°28'52"" N","157°49'39"" W",3 days 00:00:00.000000000,38.57142857142857,112.39024390025457,24
25,2020,4,11,9.5,5,"21°29'2"" N","157°49'45"" W",4 days 00:00:00.000000000,51.42857142857142,156.8149882169485,25
26,2020,4,21,7.25,6,"21°28'29"" N","157°49'13"" W",14 days 00:00:00.000000000,180.0,166.46616541353384,26
27,2020,5,9,7.0,0,,,2 days 00:00:00.000000000,25.71428571428571,122.28028503837149,27
28,2020,5,14,7.0,0,,,7 days 00:00:00.000000000,90.0,231.78082191780823,28
29,2020,5,15,6.75,1,"21°28'54"" N","157°49'37"" W",8 days 00:00:00.000000000,102.85714285714285,210.09646301279352,29
30,2020,5,24,9.75,2,"21°28'47"" N","157°49'33"" W",17 days 00:00:00.000000000,218.57142857142856,204.58149780133905,30
31,2020,5,25,10.3,1,"21°28'59"" N","157°49'21"" W",18 days 00:00:00.000000000,231.42857142857144,203.8972162674046,31
32,2020,5,26,6.75,0,,,19 days 00:00:00.000000000,244.2857142857143,109.05660378113207,32
33,2020,5,30,6.75,1,"21°28'48"" N","157°49'33"" W",23 days 00:00:00.000000000,295.7142857142857,250.6930692950495,33
34,2020,6,2,7.0,0,,,26 days 00:00:00.000000000,334.2857142857143,205.52567237919192,34
35,2020,6,3,7.25,0,,,27 days 00:00:00.000000000,347.14285714285717,197.91469195161835,35
36,2020,6,5,7.0,0,,,0 days 00:00:00.000000000,0.0,163.44339622649318,36
37,2020,6,9,7.5,0,,,4 days 00:00:00.000000000,51.42857142857142,117.14285708688047,37
38,2020,6,17,6.5,0,,,12 days 00:00:00.000000000,154.28571428571428,195.13636363697728,38
39,2020,6,20,7.416666667,1,"21°29'5"" N","157°49'43"" W",15 days 00:00:00.000000000,192.85714285714286,181.60356348311964,39
40,2020,6,22,6.75,0,,,17 days 00:00:00.000000000,218.57142857142856,135.73085846443334,40
41,2020,6,27,7.5,1,"21°28'53"" N","157°49'41"" W",22 days 00:00:00.000000000,282.85714285714283,353.0281690262696,41
42,2020,7,2,7.5,8,"21°28'53"" N","157°49'39"" W",27 days 00:00:00.000000000,347.14285714285717,214.24778760417024,42
43,2020,7,2,17.56666667,1,"21°28'41"" N","157°49'40"" W",27 days 00:00:00.000000000,347.14285714285717,102.48803831459902,43
44,2020,7,3,6.966666667,1,"21°28'54"" N","157°49'37"" W",28 days 00:00:00.000000000,360.0,185.97345132769794,44
45,2020,7,3,6.966666667,1,"21°28'33"" N","157°49'21"" W",28 days 00:00:00.000000000,360.0,185.97345132769794,45
46,2020,7,3,6.966666667,1,"21°28'30"" N","157°49'18"" W",28 days 00:00:00.000000000,360.0,185.97345132769794,46
47,2020,7,3,6.966666667,6,"21°28'26"" N","157°49'13"" W",28 days 00:00:00.000000000,360.0,185.97345132769794,47
48,2020,7,5,7.516666667000001,1,"21°28'31"" N","157°49'18"" W",1 days 00:00:00.000000000,12.857142857142856,167.68867925383168,48
49,2020,7,6,8.5,2,"21°29'3"" N","157°49'43"" W",2 days 00:00:00.000000000,25.71428571428571,176.97841725755393,49
50,2020,7,6,8.5,1,"21°28'42"" N","157°49'30"" W",2 days 00:00:00.000000000,25.71428571428571,176.97841725755393,50
51,2020,7,12,7.0,0,,,8 days 00:00:00.000000000,102.85714285714285,290.02444988117236,51
52,2020,7,16,7.1166666670000005,6,"21°28'38"" N","157°49'33"" W",12 days 00:00:00.000000000,154.28571428571428,223.9400428284343,52
53,2020,7,16,7.1166666670000005,1,"21°28'49"" N","157°49'35"" W",12 days 00:00:00.000000000,154.28571428571428,223.9400428284343,53
54,2020,7,16,7.1166666670000005,1,"21°28'59"" N","157°49'42"" W",12 days 00:00:00.000000000,154.28571428571428,223.9400428284343,54
55,2020,8,1,7.5,4,"21°28'38"" N","157°49'26"" W",28 days 00:00:00.000000000,360.0,202.8507795202008,55
56,2020,8,7,7.0,2,"21°28'48"" N","157°49'33"" W",4 days 00:00:00.000000000,51.42857142857142,90.48913042991788,56
57,2020,8,13,6.666666667,4,"21°29'16"" N","157°49'39"" W",10 days 00:00:00.000000000,128.57142857142858,243.57142857857144,57
58,2020,8,13,6.666666667,3,"21°28'55"" N","157°49'38"" W",10 days 00:00:00.000000000,128.57142857142858,243.57142857857144,58
59,2020,8,13,6.666666667,1,"21°28'41"" N","157°49'29"" W",10 days 00:00:00.000000000,128.57142857142858,243.57142857857144,59
60,2020,8,14,7.316666667000001,2,"21°28'40"" N","157°49'32"" W",11 days 00:00:00.000000000,141.42857142857142,240.1260504226944,60
61,2020,8,14,7.316666667000001,2,"21°28'41"" N","157°49'31"" W",11 days 00:00:00.000000000,141.42857142857142,240.1260504226944,61
62,2020,8,14,7.316666667000001,4,"21°28'54"" N","157°49'38"" W",11 days 00:00:00.000000000,141.42857142857142,240.1260504226944,62
63,2020,8,14,7.316666667000001,1,"21°29'11"" N","157°49'45"" W",11 days 00:00:00.000000000,141.42857142857142,240.1260504226944,63
64,2020,8,14,7.316666667000001,1,"21°29'17"" N","157°49'47"" W",11 days 00:00:00.000000000,141.42857142857142,240.1260504226944,64
65,2020,8,15,6.25,7,"21°29'25"" N","157°49'45"" W",12 days 00:00:00.000000000,154.28571428571428,197.76315789473685,65
66,2020,8,15,6.25,3,"21°29'17"" N","157°49'41"" W",12 days 00:00:00.000000000,154.28571428571428,197.76315789473685,66
67,2020,8,15,6.25,2,"21°28'45"" N","157°49'33"" W",12 days 00:00:00.000000000,154.28571428571428,197.76315789473685,67
68,2020,8,16,6.75,6,"21°28'42"" N","157°49'31"" W",13 days 00:00:00.000000000,167.14285714285714,192.24489795918367,68
69,2020,8,16,6.75,3,"21°29'15"" N","157°49'37"" W",13 days 00:00:00.000000000,167.14285714285714,192.24489795918367,69
70,2020,8,16,6.75,3,"21°29'22"" N","157°49'47"" W",13 days 00:00:00.000000000,167.14285714285714,192.24489795918367,70
71,2020,8,19,6.416666667,3,"21°28'46"" N","157°49'33"" W",16 days 00:00:00.000000000,205.7142857142857,127.59493672443523,71
72,2020,8,19,6.416666667,2,"21°29'5"" N","157°49'45"" W",16 days 00:00:00.000000000,205.7142857142857,127.59493672443523,72
73,2020,8,19,6.416666667,1,"21°28'42"" N","157°49'31"" W",16 days 00:00:00.000000000,205.7142857142857,127.59493672443523,73
74,2020,8,19,6.416666667,1,"21°29'9"" N","157°49'45"" W",16 days 00:00:00.000000000,205.7142857142857,127.59493672443523,74
75,2020,8,22,7.033333333,3,"21°28'41"" N","157°49'31"" W",19 days 00:00:00.000000000,244.2857142857143,76.57458561970024,75
76,2020,8,27,6.6333333329999995,3,"21°29'24"" N","157°49'46"" W",24 days 00:00:00.000000000,308.57142857142856,244.12955467454634,76
77,2020,8,27,6.6333333329999995,2,"21°28'56"" N","157°49'36"" W",24 days 00:00:00.000000000,308.57142857142856,244.12955467454634,77
78,2020,8,29,6.416666667,1,"21°28'34"" N","157°49'21"" W",26 days 00:00:00.000000000,334.2857142857143,196.65914222016931,78
79,2020,9,2,7.2,1,"21°28'55"" N ","157°49'53"" W",0 days 00:00:00.000000000,0.0,150.46874999999997,79
80,2020,9,11,6.25,1,"21°28'22"" N","157°49'11"" W",9 days 00:00:00.000000000,115.71428571428572,253.91634978178087,80
81,2020,9,11,6.25,1,"21°29'16"" N","157°49'42"" W",9 days 00:00:00.000000000,115.71428571428572,253.91634978178087,81
82,2020,9,14,7.0,0,,,12 days 00:00:00.000000000,154.28571428571428,205.71428571428572,82
83,2020,9,23,6.733333332999999,1,"21°28'50"" N","157°49'35"" W",21 days 00:00:00.000000000,270.0,313.8202247071746,83
84,2020,9,23,6.733333332999999,1,"21°29'3"" N","157°49'42"" W",21 days 00:00:00.000000000,270.0,313.8202247071746,84
85,2020,9,26,6.35,1,"21°29'22"" N","157°49'38"" W",24 days 00:00:00.000000000,308.57142857142856,221.662921354532,85
86,2020,9,30,7.0,0,,,28 days 00:00:00.000000000,360.0,165.04021446836242,86
87,2020,10,6,6.6,3,"21°28'26"" N","157°49'12"" W",5 days 00:00:00.000000000,64.28571428571429,45.82677168464255,87
88,2020,10,6,6.6,2,"21°28'8"" N","157°49'7"" W",5 days 00:00:00.000000000,64.28571428571429,45.82677168464255,88
89,2020,10,6,6.6,1,"21°28'38"" N","157°49'27"" W",5 days 00:00:00.000000000,64.28571428571429,45.82677168464255,89
90,2020,10,9,6.45,8,"21°28'18"" N","157°49'10"" W",8 days 00:00:00.000000000,102.85714285714285,305.8163265306123,90
91,2020,10,9,6.45,1,"21°28'40"" N","157°49'26"" W",8 days 00:00:00.000000000,102.85714285714285,305.8163265306123,91
92,2020,10,9,6.45,1,"21°28'32"" N","157°49'19"" W",8 days 00:00:00.000000000,102.85714285714285,305.8163265306123,92
93,2020,10,9,6.45,1,"21°28'24"" N","157°49'11"" W",8 days 00:00:00.000000000,102.85714285714285,305.8163265306123,93
94,2020,10,11,7.566666667000001,3,"21°28'41"" N","157°49'28"" W",10 days 00:00:00.000000000,128.57142857142858,276.41468683643996,94
95,2020,10,11,7.566666667000001,2,"21°28'32"" N","157°49'16"" W",10 days 00:00:00.000000000,128.57142857142858,276.41468683643996,95
96,2020,10,11,7.566666667000001,1,"21°28'32"" N","157°49'20"" W",10 days 00:00:00.000000000,128.57142857142858,276.41468683643996,96
97,2020,10,11,7.566666667000001,1,"21°28'15"" N","157°49'8"" W",10 days 00:00:00.000000000,128.57142857142858,276.41468683643996,97
98,2020,10,14,6.6,3,"21°28'20"" N","157°49'10"" W",13 days 00:00:00.000000000,167.14285714285714,181.4516129032258,98
99,2020,10,14,6.6,1,"21°28'11"" N","157°49'10"" W",13 days 00:00:00.000000000,167.14285714285714,181.4516129032258,99
100,2020,10,15,6.783333333,2,"21°28'12"" N","157°49'9"" W",14 days 00:00:00.000000000,180.0,162.67379679051732,100
101,2020,10,15,6.783333333,1,"21°28'22"" N","157°49'11"" W",14 days 00:00:00.000000000,180.0,162.67379679051732,101
102,2020,10,17,7.3,1,"21°28'29"" N ","157°49'12"" W",16 days 00:00:00.000000000,205.7142857142857,130.73684211214405,102
103,2020,10,22,7.216666667,2,"21°28'10"" N","157°49'18"" W",21 days 00:00:00.000000000,270.0,340.29684601773766,103
104,2020,10,24,16.13333333,3,"21°28'27"" N","157°49'12"" W",23 days 00:00:00.000000000,295.7142857142857,124.8447204223602,104
105,2020,10,24,16.13333333,2,"21°28'40"" N","157°49'30"" W",23 days 00:00:00.000000000,295.7142857142857,124.8447204223602,105
106,2020,10,24,16.13333333,1,"21°28'14"" N","157°49'16"" W",23 days 00:00:00.000000000,295.7142857142857,124.8447204223602,106
107,2020,10,25,8.433333333,1,"21°28'48"" N","157°49'34"" W",24 days 00:00:00.000000000,308.57142857142856,288.6792453224279,107
108,2020,10,31,6.833333333,1,"21°28'40"" N","157°49'32"" W",0 days 00:00:00.000000000,0.0,129.52380951428572,108
109,2020,11,1,8.533333333,1,"21°28'34"" N","157°49'21"" W",1 days 00:00:00.000000000,12.857142857142856,160.31250000000003,109
110,2020,11,5,6.7,3,"21°28'15"" N","157°49'8"" W",5 days 00:00:00.000000000,64.28571428571429,10.876132930513595,110
111,2020,11,5,6.7,1,"21°28'11"" N","157°49'11"" W",5 days 00:00:00.000000000,64.28571428571429,10.876132930513595,111
